daten,ym,llp_bk_shock
01jan2013,2013m1,-.0023865
,2013m2,-2.10e-10
,2013m3,-3.02e-11
01apr2013,2013m4,-.0004315
,2013m5,-8.77e-11
,2013m6,2.28e-10
01jul2013,2013m7,.0014204
,2013m8,9.69e-11
,2013m9,-1.06e-10
01oct2013,2013m10,.0017982
,2013m11,1.40e-11
,2013m12,4.27e-11
01jan2014,2014m1,.0008804
,2014m2,1.53e-11
,2014m3,-1.11e-11
01apr2014,2014m4,.000183
,2014m5,-8.27e-12
,2014m6,1.08e-12
01jul2014,2014m7,.0003906
,2014m8,-4.36e-13
,2014m9,-1.47e-12
01oct2014,2014m10,.0010425
,2014m11,-4.20e-11
,2014m12,2.67e-11
01jan2015,2015m1,.0011779
,2015m2,3.97e-11
,2015m3,-3.08e-11
01apr2015,2015m4,.0003201
,2015m5,1.94e-12
,2015m6,-8.24e-11
01jul2015,2015m7,-.0011481
,2015m8,-2.35e-11
,2015m9,5.86e-12
01oct2015,2015m10,-.0022183
,2015m11,3.70e-11
,2015m12,-3.10e-11
01jan2016,2016m1,-.0022458
,2016m2,-3.82e-11
,2016m3,-6.65e-11
01apr2016,2016m4,-.0017066
,2016m5,-2.24e-10
,2016m6,7.39e-11
01jul2016,2016m7,-.000934
,2016m8,2.68e-11
,2016m9,-1.49e-10
01oct2016,2016m10,-.0003948
,2016m11,2.05e-10
,2016m12,2.33e-10
01jan2017,2017m1,-1.62e-10
,2017m2,2.96e-11
,2017m3,-9.82e-11
01apr2017,2017m4,-1.54e-10
,2017m5,1.91e-10
,2017m6,-1.95e-10
01jul2017,2017m7,-2.16e-10
,2017m8,-2.12e-10
,2017m9,-1.30e-10
01oct2017,2017m10,1.83e-11
,2017m11,-7.54e-11
,2017m12,-8.88e-11
01jan2018,2018m1,1.66e-11
,2018m2,-9.92e-12
,2018m3,-1.65e-11
01apr2018,2018m4,9.83e-11
,2018m5,-7.99e-11
,2018m6,-9.74e-11
01jul2018,2018m7,-3.71e-12
,2018m8,1.01e-10
,2018m9,6.71e-11
01oct2018,2018m10,-7.40e-11
,2018m11,-1.01e-10
,2018m12,-6.38e-11
01jan2019,2019m1,-5.59e-11
,2019m2,1.75e-11
,2019m3,-1.90e-11
01apr2019,2019m4,8.05e-11
,2019m5,6.48e-11
,2019m6,1.05e-10
01jul2019,2019m7,1.06e-10
,2019m8,-6.31e-11
,2019m9,-1.06e-10
01oct2019,2019m10,1.58e-11
